guest_id,translation.comments
2929059,"Ernesto is simply one of the best guests we've ever had. 

Thank you I recommend everything perfect 👍🏻 Ernesto was an excellent guest during his stay with us . Everything is perfect for Ernesto's stay. Easy communication, respect for house/Community rules, cleanliness. Would recommend!"
3092277,Great guests 🙂
3716667,"Great communication and a well-kept house! Deborah was a perfect guest, kind, and responsible. The apartment has been left in perfect condition and communication was exceptional.  
I recommend this guest to all Airbnb hosts. VERY WELL! Very kind and recommended guest! It was a pleasure to host Deborah. Recommended for all owners. We hope to host Deborah again."
3771008,"Jan and her friend  Janet occupied  my apartment for two weeks ..I met two lovely people, courteous, discreet and cheerful!
I will keep an emotional memory of their stay at my place...
They will be welcome if their footsteps direct them, again, to the Pyrenees. ""Hi,
Thank you so much for taking care of our place 😍
We are very happy to have had you as our guest and would be happy to receive you again.
See you soon.
The HostnFly team "" We were very happy to have had Jan as guests! The apartment was left very tidy! Jan and friends stayed for 4 nights at our property.
It was a pleasant day thanks to their company.
They also respected all the rules of the structure and left the apartment clean!
I hope to be able to host you on other occasions Great experience! Jan and his travel companions Janet and Alexis are nice and friendly people. Add to this is the perfect communication in the check-in agreements and the order and cleaning with which they left the apartment. Definitely to recommend to every Airbnb host!"
3827593,"Len and Sylvie were very good guests, friendly and respectful of the rules and the apartment in general, we definitely recommend them and would welcome them as many times as they wanted to come back!!"
3844966,Elena was very kind and polite. It left everything tidy. Highly recommended
3996477,"Bernard and his wife were wonderful guests! They came for a concert 🎵 and their enthusiasm was communicative. 
They are very respectful and warm people, who left the studio impeccably clean.
I really enjoyed connecting with them and would love to host them again. 
A nice meeting that I would highly recommend to all hosts! 🙏🏻"
4020756,"respectful guests the listing was returned as initial we recommend this guest to see you soon Jean's family is very nice.
i recommend it!"
4053940,"Thank you for your stay at my place, your sympathy and your communication
See you next year 😇 Guillaume is very friendly, good communication. I recommend to all hosts. Perfect Everything went well with Guillaume and friends! I recommend these friendly and pleasant guests"
4072435,Nice people!
4089062,"Everything was perfect. They were careful with the apartment and charming. We were extremely satisfied with Sophia and her friends, very good guests, we are always happy to host Sophia was very nice and cheerful, I really enjoyed the communication! In addition, she left the apartment in very good condition and even washed and folded sheets!!
I recommend it!"
4278212,"Young people, prepared to have a great time, as part of the right tourism"
4461304,Perfect hosts
4589054,"Pauline was a very polite guest who took care of the apartment and respected all the house rules. We will definitely receive it again! super friendly. 
to pleasure Pauline 
super friendly. 
very clean
 i recommend 100% Pauline was a special guest who brought a lot of good energy to Vila Verde. Charismatic, kind and cheerful, welcoming her added a lot into our experience as a host. 
It was a pleasure welcoming you and Vila Verde will always be open! Pauline is a lovely woman, discreet and polite."
4643099,"Wahid's stay was very disappointing. All the furniture in the living room has been moved and put in total disarray. He left the blankets thrown on the floor, wet, and everything was dirty. Even the walls were splattered. I left a pair of new shower flip-flops, and they disappeared. The accommodation was returned in an unacceptable state of uncleanliness. I absolutely do not recommend this guest. Without a doubt the best host we have received with us, I highly recommend hosting him in your home you will not regret it"
4653510,"Polite and very kind guests, I recommend it to all hosts."
4654687,"Ben and Xanthra were wonderful, kind, communicative hosts, they took great care of the apartment, leaving it perfect. 100% recommended. They will always be welcome"
4666442,"I was sorry not to have met Marco and his group, he is a very kind person and has left the house intact Marco and Mariarita were exceptional guests,  they left the apartment in great condition. I highly recommend them to other potential hosts. Marco was a friendly and clean, respectful guest, highly recommended"
4855062,"I recommend exemplary guests. A great lady and we sympathetic! Glad to have hosted you and you will be welcome whenever you wish.  Hi,

Everything is perfect, very good guests.

Thanks
Roger Pilar and her family have been great tenants. Friendly, polite, and fair. They have complied with the house rules, we always communicate easily and have left the apartment clean. I hope they'll be back soon. Pilar has been a great guest. Very friendly, very clean and very nice.
I recommend this guest to any landlord "
5098583,"Micah and his wife were very nice guests, respectful of the apartment. during their long stay they perfectly maintained the places 
to recommend"
5173148,Very nice contact. Very clean and tidy. I would gladly come back.
5251476,"Great guests, I recommend it Elena and Dimitri have been spectacular guests. Very nice, very collaborative and I always had great communication. They're the perfect guests!😀"
5335487,Simply extraordinary people that I recommend everyone to have as very welcome guests. Very welcome guests! Paul was an excellent guest with excellent communication skills. Paul kept us informed of the arrival and departure times and answered all questions clearly and accurately. The space has been left in perfect condition. We highly recommend Paul to any host!
5485070,"Everything went well with Lara, 
The apartment was made spotless during his visit to Paris:)"
6004103,"In a polite and friendly language,
Communication was good Thank you so much for using it cleanly, for tidying up well.
You're the best guest ~ Hello!
You used our accommodation, took care of our hosting space, and used our accommodation cleanly. 
You also cleaned up the checkout. 
From check-in to check-out, communication was smooth, and the rules of the accommodation were very well followed. 
It was really nice to be able to host your loved ones. 
I highly recommend this guest to other hosts ^ ^"
6571471,"Valentin booked for his technicians to organize a wedding (DJ).
The check-in went very well and they didn't stay asleep after all. So the place was spotless. Bon contact Great team and very respectful of the place"
6814805,"Hélène was a great guest, left everything in perfect order and respected the house rules. No one should hesitate to host you with your eyes closed. Friendly and discreet guests!"
6833189,"nothing to report 
thank you Yves is a very respectful and pleasant person. He left the house very clean. It's a really good communicator . I would highly recommend it ."
7038919,"A pleasure to welcome David and Lucie Two quiet, courteous and respectful families who left the cottage spotless. It went very well. Very nice couple and respectful of the place 
I highly recommend it. 
Very friendly and discreet family 
Looking forward to seeing you again Very friendly small family coming to stop in our cottage thanks to their bike tour by the Loire 🙂 Smiling, enjoyable and discreet!"
7088510,"It was a great pleasure to host Patricia, the guest we would always like to meet! He left the house in perfect condition, as well as being very courteous.
You're always welcome!
Thank you Patricia is very kind and pleasant."
7143385,"Perfect, I recommend it! Romain was a friendly guest, who took care of the apartment. We'll be happy to host it again!"
7189029,Just great! ⭐️
7245406,Family that I highly recommend . Have left the apartment in perfect condition . Thanks to them
7341590,"They switched mattresses from one bed to another with different measurements, subject to damaging them, and left the house dirty"
7404983,"Maxime left the accommodation clean and even took care of the sheets. I recommend. It's hard to imagine more enjoyable as guests than Maxime, his wife and their adorable baby 
Nice, friendly communication!
Thanks for their visit"
7484149,"The accommodation has been left very clean and tidy, respecting the house rules, smooth communication, we recommend it! Gaetan and her small group of teenagers were very respectful, pleasant and clean accommodation.
I was delighted to meet them and would be happy to host them again.
I would recommend it in a second.
Stephanie your host Adorable guests with their rabbit and a super funny parrot.. open their big door  . Big evening spent with them 🙏😂😂 Very nice guests. Unfortunately, we were not able to meet in person, but the contact was always nice and friendly. The apartment was left very clean and tidy. Very happy to come back. Friendly group of young athletes competing, quiet and respectful of the amenities available to them."
7857281,"They were great guests for me, I would definitely recommend it to all hosts"
7880202,Correu all well with Chou and I hope to welcome you again in the future. Thank you!
7889799,"Danilo was a great guest, made the apartment impeccable. We hope to welcome you again"
7925303,friendly and respectful guests
8113869,"Fanny was a respectful guest and left the apartment spotless 
i recommend it without hesitation Fanny is a good guest 
I would recommend it Everything is perfect The room was in an impeccable state! Easy and fast communication.
I recommend it! fanny and her companion have been exemplary guests, we would recommend them."
8154806,"Excellent guests, very polite and respectful of my home. Fantastic  communication for their stay. So sweet family who always want a chance to host. Thank you very much friends. very short stay. Very good communication and great respect"
8689948,Tidy and clean guests
8858219,"Alex and his friends were great guests, very nice and kind. They let the apartment clean and tidy,
I was very happy to host you. Marina and her friends were great guests. The Marina made the reservation far in advance . It was very easy to work out the details .  They kept the apartment super clean. I highly recommend Marina as a guest on AirBnb . "
8916304,Very kind girl! Recommended ! We loved hosting you thank you so much for your presence:)
9292494,Sara and her family were friendly and taking care of the space. Highly Recommended
9420517,"The best guests on August! Girls, you're super! ❤️Waiting for you again!"
9513273,"Sam used the accommodation very cleanly and left after cleaning up perfectly.
If I come again next time, I hope to see you again."
9675548,"Thank you for your visit, it went very well"
10197128,"Beautiful Passage. Alis and her friend were discreet and respectful of the place.
I would recommend them"
10222186,"Very communicative and easy guest.He was a very kind man.This is a great guest for you.
Thanks for keeping your place clean and tidy.
Come and visit us again!
Very good customer and polite.
Follow our policy well, am strongly
Recommended this guest. Very communicative and easy guest.He was a very kind man.This is a great guest for you.
Thanks for keeping your place clean and tidy.
Come and visit us again!
Very good customer and polite.
Follow our policy well, am strongly
Recommended this guest."
10298711,"Mathias and Doriane are a very friendly, clean couple and they took care of my place. I recommend it!"
10508689,"Polite family, I recommend all hosts! All right, I recommend it to all hosts. Great stay! Hope to welcome you another time! Great guest Good, pleasant communication"
10655405,Julia and family were excellent guests and were very careful with the apartment. You are always welcome again. The apartment was neat and  tidy after the stay.
10678691,"Elena was a perfect guest. The house was tidy and clean. Thank you Elena and her fellow travelers were really great guests. Throughout their stay, they communicated excellently with us, adhered to the house rules and left the apartment in perfect condition. They are guests we would recommend to everyone without hesitation."
10711553,"Great, mega-positive and wonderful  guests, followed the house rules, I will happily accept more. Lovely guests. The apartment was left in perfect condition! I recommend it to everyone and I will be happy to host this family again myself."
10865331,"Andre is a respectful host, you can trust. I would recommend it in a second."
11091159,Nice and easy to communicate with. Took good care of our home.
11095001,"You're all right with Guido and Cin! Guido  and his companion  are  thank you  for honoring me  Guido is very polite and very quiet. It was a real pleasure hosting you! Definitely recommend! I was a little disappointed by Guido who left the studio in a state that I had never seen with other hosts. This shows that he's not very respectful. Even if someone is in charge of cleaning after they leave, there are limits. "
11292057,"Very friendly couple, Gregoire and Juliette stayed with us for 2 nights. Everything went very well, the contact was very easy with them and they respected the premises perfectly.
We highly recommend them. Gregoire and Florian are very friendly young men! I recommend them to 100%!!!
"
11323975,Charlotte and her family are very neat guests who we are happy to recommend.
11337921,"Very nice little group. They left the place impeccable . Smiles and good conversations are on the agenda. We recommend it without hesitation . Thank you for visiting. They left the place spotless. great nice gang A hyper symphatic couple. We had a pleasure to share with them. They are welcome 24 hours!:) Very good again
No worries, welcome
"
11498845,"Jennifer stayed with her group along the way. The stay went great but I only had a bit of difficulty getting the necessary answers to coordinate checkout. All okay, thank you and have a nice trip Marilee and her group quiet, tidy, and impeccable guests"
11925911,Alda and her husband were very nice. Our exchanges were interesting and rich.
12259735,Lisa and her friends were very nice guests!
12561763,"Franziska and Sven were really super nice guests, very cozy ,communicative and positive. They can always come back, even."
12633032,"Everything was perfect!! Highly recommended!! See you soon, couple 💕💕 Friendly and respectful people.
But, just for the sake of honesty, it would have been nice to let us know that there were 4 of you and not 2."
12805173,"Sara was a very good guest . We will love to welcome you back in the future . Have a nice trip ! I really hope you enjoyed your time in Seville, Sarah! You're always welcome A real pleasure to have hosted these hosts! Discreet, respectful, and very friendly.
We care a lot about making everyone feel warmly welcomed.
See you soon, maybe!"
12995495,"It was a pleasure to host Brandy and Alex. They're very friendly and polite. They left the apartment clean and tidy, being communicative, cordial and respectful. We recommend Brandy and Alex to future hosts, but we would love to welcome them again on your next visit to Lisbon."
13173865,Perfect guest Everything went well. Apartment made clean I recommend
13293196,"Rosaria was a nice, kind and respectful guest.
The place was perfectly left behind.
We hope to have you again in the future! Rosaria and her family are exceptional guests. Friendly, kind, polite, and respectful of house rules. They left the house in perfect order. It was such a pleasure hosting them"
13373658,"Friendly couple,  charming rather discreet. Georges and his colleagues were basically very likeable guests. Unfortunately not very mindful... It was (in case of storm warning!) Fire in the tiled stove, the slider by the fireplace was still closed and the whole house was then full of smoke. (I have other rooms and the guests complained logically). Then they just left without informing me that there were problems. I had to go ""emergency"" into the room to get the half burning wood from the stove, where wind could have burned my (or neighbor) house! I find this to be very negligent and STRONGLY recommend George to behave appropriately and never leave a smoking/hot fire unattended. Nowhere. Also otherwise their behavior was rather inappropriate (after one night a lot of dirt in the room, shower under water, compost (coffee grounds) not separated, etc.).  Unfortunately, no full recommendation from me, sorry... Pleasant couple, no difficulty. Everything was perfect. Thank you Georges! Georges and his partner were very welcoming guests ,to recommend to any host"
13591928,"Derek and his group were amazing guests, always very careful with friendly communication. It was a pleasure Receê los."
13647416,Thank you for staying with us for a long time😭💖💖💖 We hope you had a great time here. Please come back here again if you have the chance:) Thank you
13673682,"Agustín and his friends were great guests! Super respectful and friendly! Communication with them was always respectful and fluid and they perfectly respected house rules! Paula and her family are great guests, they are very kind  and attentive. It was all right during the lodging, it was a pleasure to host you.

Back always! Agustín and his group of friends were excellent guests, a group of 8 young people, who did not cause any inconvenience. Highly recommended! Excellent tidy and clean group! We look forward to seeing you again!!"
13920888,Clean and polite.
13953202,"Very nice, kind and polite. Our Lilla misses their delightful little dog Tina very much. Pleasant exchanges with MarieLaure and her husband: looking forward to hosting them again very nice family who left the cottage clean Discreet and respectful guests"
13966491,Thierry is a discreet and pleasant guest. My place was made clean for me. I will be happy to host it again and recommend it wholeheartedly.
14079287,"Ideal hostesses that left the apartment impeccable.  Everything was perfect Dear, tidy and clean, it's a pleasure to host them Friendly and tidy. It was a pleasure hosting them. Everything is perfect. Courteous, friendly, respectful, tidy guests. 
Perfect communication 
Super recommended ! Great, highly recommended guests. Thanks again for choosing us! See you next time! Marco"
14150722,Communication with Jacinthe was very fluid and transparent before and during the stay. We'd love to host it again I recommend Jacinthe and her family as hosts. Everything went well during their stay in Aulon. We look forward to seeing you again.
14216718,"Jill and her friends were great guests- kind and binding in communication and the house was left tip-top. A couple of extreme kindness , respectful of the place and with whom communication was fluid throughout the stay. a very cool teenager and a beautiful baby like a heart .
In short, Jill, Liv , Florent  and Sacha are perfect guests 😉"
14220208,"We had a fantastic experience hosting Marc. They were courteous, respectful and took very good care of our place. Your stay was perfect from start to finish, with excellent communication and attention to detail. We will be happy to host Marc again. Highly recommended! Great guests. Would recommend! Francis and his group were very nice. We really enjoyed meeting and welcoming you to our house. Highly recommended! Great guest! Chris and his group were very nice guests. Very good communication from the start. Always welcome!!"
14683854,"Very good guests, we recommend them"
15044394,"Massimo was extremely  kind,clean and respectful of the environment,it  was a real pleasure to be able to host you,maybe everyone was like that,I hope to see you again soon Massimo and his girlfriend are nice people! They left the garden house very clean. Welcome back! He was a superb guest. We had very good communication from the beginning, and he has always been very nice and friendly. She left the apartment very clean and tidy and tidy. We've loved having you as a guest, and we 100% recommend you to other hosts. Thank you very much again and hope to see you again!"
15045723,"Victor and his friends made me worry by ringing the doorbell at 3 am and waking me up, since it looked like they had lost the key. 

Later it turned out that they hadn't lost the key, but they made me worry a lot because I thought I'd have to replace it within a few hours, because the next day I had new guests. I didn't sleep well that night. I wouldn't recommend these guys."
15059491,"DESI AND THE HOST WERE THE  VERY KIND CLEAN AND FOLLOWED THE RULES OF THE HOUSE I WOULD LIKE TO HOST THEM AGAIN good people , punctual, friendly, and tidy. Top guests Friendly family"
15080248,"Ji Soo and his family were perfect; communication, house rules, cleanliness: 5 stars!
We would obviously love to host them again and highly recommend Ji Soo to the entire Airbnb community."
15085784,"It was a real pleasure to welcome Carole and Alice to the house. They are radiant travelers, very friendly and open to meeting people. Unfortunately, we couldn't be very present during their stay, but we'll welcome them again without hesitation. It went very well with Julie, which I highly recommend. Nicolas, his family, and friends were friendly, friendly, and helpful guests. Even though they stayed for a short time I was able to get to know them and share some time. Recommended! Perfect!! thanks for visiting! Carole is the perfect guest: both friendly and punctual, Carole left the apartment in impeccable condition! 
Recommended, of course, for other guests. 
"
15126952,"Very friendly couple! Respect for the premises and discretion. We'll be happy to welcome Jérémie again. Jeremi and family were very good guests as you wish for. We look forward to welcoming you again! Jeremie and family were great guests. Unfortunately, son Tom got sick and had to skip some program points. Furthermore, our contact was very good and everything went perfectly. Everything went very well and we will welcome you again with great pleasure, thank you again and see you next time! Philippe Very friendly and respectful family of the place. Smooth communication. We'd love to host again"
15467175,Four friendly friends i correct!!!
15527175,"Nice and hassle-free communication. Apartment left extremely tidy and in good condition. Kirstine is always welcome back. Extremely attentive and welcoming guests with a positive approach where everything was left in great order
Dbh
Søren Kristine and friends have been lovely guests, and we would be delighted to be called them another time."
15593075,Great guest
15663736,We were delighted to stay with us.  You are welcome if you ever come back to Paris. Happy hosting.
15816089,"Alexandra communicated fine at first. It turned out that they would no longer come with two couples but more with two separate groups? After arriving, she asked for a fourth towel that turned out to be there after further information. The second last night we were called out of bed at 1:30 am (in the middle of the night); first, Alexandra indicated that they had locked themselves out and later it turned out that the lockbox was jammed. So we were startled for nothing in the middle of the night.  However, it seemed like she thought this was the most ordinary thing in the world. She even expected someone to be around with a spare key. (which is also there, but fortunately not yet passed on to Alexandra because then those wrs were also called awake in the middle of the night). So I wouldn't want to invite her to my house again."
15970034,"It was a pleasure to host Francis. She left the room in perfect condition and was very kind to all the staff. Any host would be happy to host you. Francis is a very likeable and nice guest. The communication in advance was straightforward and the room tip-top on departure. We would always be happy to come back from him! Francis and his family are very nice and very kind. I would highly recommend it. Good communication. 
Thank you for your stay It was a pleasure to welcome you."
16079417,"Thanks to Charlotte for booking! A respectful and friendly host, she took care of our home. 
We would recommend it without hesitation Charlotte and her friend  are very nice, respectful of the place, communicative. I recommend it. Charlotte's stay in our studio went smoothly. Her communication was very good. She took care of the studio during her stay. We would definitely recommend it to its future hosts. Charlotte is really very nice, the communication is very clear and responsive, and the accommodation has been left in impeccable condition. What more ask for? 🙂👍
It was a real pleasure to host him. I would definitely recommend it. Even though we didn't cross paths with Charlotte, the contact was easy and the stay went well.
I recommend Charlotte."
16336122,"Melissa was a great guest! Communication was smooth from start to finish, she respected the house rules and left the space clean and tidy. Hi Brenda
Thank you for choosing one of our listings for your stay, we are delighted to have you here.
We look forward to seeing you again .
Have a nice day.
Marie and Arnaud."
16453001,Phenomenal Guests Taryn and her partner have been good guests. They were friendly and friendly. The apartment was in good condition 🙂 Very friendly quiet guests!
16574905,"It was perfect before and during the stay Coralie and her friend are very friendly and discreet travelers 
Very respectful,  the apartment has been left nickel 
I'd recommend them without so much as a second thought"
16731472,"Diego only stopped for 2 days in my accommodation, I wanted to stop more, because not only is he a communicative, polite and respectful person, we have also shared points of view, in short, I think that after the holiday there was a beginning of friendship.
I highly recommend all hosts to host it."
16741170,"I am a well-traveled and well-mannered customer.
Communication was smooth and he followed the rules of the accommodation.
I would like to thank you and recommend that you are a welcome guest to any place to stay. Thank you. Mo's group was friendly and respectful of the accommodation.
We would enjoy hosting them again.

Thank you choosing a property managed BY MONTPELLIER KEYS 🔑 Great guests
Highly recommend Thank you for your kindness and cleanliness- You made the use of the accommodation so clean. Thank you!!:)"
17071000,"It went very well, Paul is friendly, the accommodation was spotless when he left. 
I would recommend it"
17146673,"I found the apartment clean, but Tristan and his friends did not respect the house rules, my neighborhood complained about the noise at a very early hour and I felt a strong smell of tobacco when returning home. Too bad it wasn't a good experience for me."
17392690,"Charlotte with her boyfriend and baby are very sweet and nice guests. Very easy and would also advise them to the hosts.  Dear Charlotte, Thank you very much for your stay and see you next time !"
17585058,"We did have a mishap with flying ants, but we did everything we could to remedy the problem. We even offered Aude to cancel her reservation from the 1st night or even the next day. Despite this, she was haughty and disdainful. It is clearly stated in the listing, ""unpretentious studio, outbuilding, dance of the house"", and not ""luxury hotel, sanitized and air-conditioned"".
A disappointing experience."
17610412,It looked completely ironed for guests. Welcome back another time😊 Louisa and guests took good care of the cabin and left it clean and neat. 😊 Jens and his companions were very nice and easy to communicate with. Would love to welcome them back Tidy train and good cow communication Louisa left the cabin beautifully cleaned. welcome back.
17865478,great guests. respectful
17918743,Everything worked out great and were very nice guests.
18093705,"Edgard and his family were super kind, friendly, and respectful. Despite the endless rain it didn't seem to be bothered, on the contrary I think they enjoyed the tranquility of this oasis that is the Peninsula de San Pedro. We look forward to welcoming you again! There was a bit of confusion with the reservation as I thought they had breakfast included in the price of the room. We have discussed this and the matter has been clarified afterwards. We hope that your impressions have not been affected by this fact. 
"
18126945,"Thank you for visiting our home!
They were guests who used the accommodation cleanly and followed the rules:) 
The impression was so good.🤭🤭 I hope you had good memories during your stay.👍🏻 Sol is a very nice visitor and left the studio very tidy. Would recommend!"
18261329,"Lovely person! Glad to have hosted Kitty. A nice person, very respectful of rules and places. Apartment made very clean and tidy. Great communication. We would highly recommend Kitty and would gladly welcome her back. Kitty was  respectful  and was very discreet during the stay. It would just be necessary to make sure to respect the stated time in order to avoid the host waiting to check in!"
18749259,"Excellent stay with Maxime, a respectful and very nice person. I recommend it! Thank you for your kindness It went very well with Maxime! Excellent guest, I recommend coming Maxime was a good tenant! I recommend it. Have a good exchange"
19062092,"yohann came to celebrate an abortion with his friends, everything went smoothly.
the house was clean after they left.
i recommend Yohann It went very well with Yohann. What a lovely group of friends Yohann a. Yohann and his friends respected our castle and its facilities - for example,
  during their stay, they made sure the outdoor garden equipment was covered after use and left the castle exactly as they found it. Yohann has excellent communication skills - he made sure everything was arranged in advance and kept in touch during his visit. Thanks Yohann."
19115042,"Hanns was very kind, great guests. The communication was excellent and the check-in took place correctly 😊"
19233328,Camila and Gonzalo have cared for and left the apartment in perfect condition. I recommend them!! everything is very good
19528135,Iliana with company left the cottage so nice.
19920675,José Manuel and his colleagues have been great guests and we look forward to seeing you again soon. Good guys. Jose and his friends were great guests.
20111127,"Everything went very well with Noémie,  the apartment was made clean and tidy. Communication was very good. I recommend Noémie and her family Very nice family, polite that doesn't make noise. 3 very cute children. Gite left clean. 
I'm happy to host you again but with the sun this time 😃 Friendly couple, no pb Noémie and her family were respectful guests and house rules.
Very good communication.
To welcome without a second thought!!"
20159741,"Davide is very nice, friendly and respectful. He stayed in my apartment for only one night and it was really nice to meet him. It will be a pleasure to host him again when he returns to Parma!Absolutely recommended!"
20508834,"Thank you Helena and Victoria
Very friendly young couple,
 discreet and respectful
Very clean room 
nothing to say 
Looking forward to seeing you again 
Francine Everything went well"
20579147,"André is a great guest. Very dear as a person, very agencioso and very careful with our home. 
I highly recommend it. Andre and his family were great guests, keeping everything clean and organized. They will always be welcome at Boa Vista Felix House. Thanks and see you next Andre!! Andre was a great guest. Peaceful & respectful.
You'll always be welcome. Andre and Naná were excellent guests,super polite, friendly and organized communicative. They followed all the house rules. 
Highly recommend."
20604448,"Everything went perfectly well with Coline and her spouse , discreet and very respectful of the premises as well as the rules, the accommodation was returned in impeccable condition, I recommend them without hesitation. Coline and her family enjoyed an extended weekend at our home. 
I recommend these guests who were easy to communicate with! They left the apartment as they found it. Thank you Coline and her family made the cottage in perfect condition. Communication was very fluid. I can only recommend them! It was with great pleasure that we welcomed Coline ,  Andréa and their 2 children Olivia and Gabin. Friendly family with whom communication is very pleasant. They respected the premises, we recommend them without hesitation.
Looking forward to welcoming them again"
20751453,"They used it cleanly.We would like to stay there again. Joe

Thank you for staying with us.
Looking forward to visiting again."
21413211,"Anne and Jean-Pierre were perfect guests. Great communication and great kindness. The space was perfectly clean when they left. Thank you very much. It was a real pleasure to welcome Anne and her family!  Very respectful of the rules of the apartment, they left it perfectly clean and without problems. Highly recommended guests!! they will always be  welcome with us! Anne and her family are friendly tenants. 
Our contacts were pleasant. Anne is very friendly and enthusiastic!
It went very well. I would highly recommend it! unfortunately, I was not present during Anne and her family's stay. My niece tells me that everything went well. I hope that on an upcoming stay I can see them."
21479793,"Be polite, love, clean, very good communication, beautiful and cute sister"
21594254,"Very nice and likeable quiet guests who have left everything excellent.
Thank you, always welcome guests. Sophie's stay was completely pleasant A pleasant, lovely and always welcome guest!
Thank you :- ) Sophie and accompaniment were wonderful guests. Communication was straightforward and extremely friendly. My place was left in great condition and I would like to welcome Sophie back as a guest at any time. 
Unconditional referral! It's always a pleasure to have Sophie as a guest! :- )"
21643560,"Jérôme is a traveler we will never recommend enough! Jerome and his girlfriend are quiet guests and respectful of house rules. Jerome is a quiet guest, very polite and respectful of house rules.
Definitely recommend it to all Airbnb hosts"
21657843,happy to have them had guests
21764011,"Very good experience with Suzy and his friends, the house left very clean and very good exchanges ☺️ We thank Thierry and his family for their visit to the Lioran and their respect
I was not able to accommodate them, but we communicated very well anyway! Everything went well with Thierry and his family, they are very friendly, good communication, we recommend them without problem!! Thank you, discreet and kind. Pleasant couple discreet and respectful of the place.
I recommend"
21772917,Christine is a wonderful guest.  She left the apartment impeccable. It was very nice with her. Christine and Thomas are very polite and polite. They left everything in order. I look forward to their return.
