reviewer_id,document
158169,"What a pleasure to be welcomed with a warm stove in a wooden cabin!   <br/>I would be tempted to give a bad grade, so that I could keep the venue un-used, but it would not be fair ...  Everytime I come to Amsterdam, I try to stay at Marga's and Rico's. Their cabin has become my dutch home. "
164729,"Comfortable apartment in a residential neighborhood, so it's very quiet. Fairly close to the train station, 10 minutes by bus. Fenno is very easy to deal with, very communicative, so it wasn't a problem to check in and out, he's reliable. The apartment is well equipped and comfortable, back porch is a plus especially in summer. Thanks! Ester is very professional. Communication beforehand was very smooth, as well as the checking-in. The apartment is stunning. Large, modern, very clean and tidy, providing everything you could think of (kitchen, bath utensils). She welcomed us warmly, had fresh flowers and a bottle of wine ready for us. Thank you very much for that! That you can have bikes to use as a free extra is just great. Ester always helped us if we needed something and made our stay extra pleasant. The location was great for us too, it's a cute but vivid neighborhood. I would absolutely recommend that place!"
181071,"Absolutely perfect: impeccably clean, ideally located, filled with sunlight. Robert couldn't have been more attentive or accommodating. The bus goes directly from the airport to a stop 5 minutes' walking distance to the flat, while 10 minutes on foot takes you to the heart of the center. Truly, we felt so incredibly fortunate to have found this little gem. If you're looking for ease, simplicity, and sunshine, this one's for you."
184519,"Toetsie was a fantastic host and her place is the perfect setup for guests. She welcomed us even though we were late and gave us free transport cards for the city, keys and maps. Gifts of wine, juice and everything we needed for breakfast. We only met her the first night but she gave us great recommendations. We would definitely stay with her again!"
228091,"This was the best lodging experience I could ever had in Amsterdam.  Let's start with the house boat, is beautiful, cozy, clean, spacious, Internet worked perfectly all over the house boat, there is nothing bad to say about this place, the place is more beautiful of the pictures shown in the listing.  It is equiped with everything, microwave, fridge, stove, coffee maker, everything. The neighborhood is incredible, 15 to 20 minutes walking to main sites or 5 in bicycle; safe, clean, beautiful, out of the crazyness of the city.  The hosts are great people, great communication, always asking about how we feel, if everything is ok, fast response.  I evaluate a lot of places before booking this and once there I walked all over the city to compare and there is not a better option.  This just gives you the real experience of living in a house boat in Amsterdam."
235420,"This was an impeccable experience from the time of booking. David responded quickly to messages and was a welcoming host when we arrived. Very convenient to the train station and within easy reach of all sights, this place feels like a boutique hotel room, complete with breakfast that arrives in a basket outside the door. Although the neighborhood is lively, the room is quiet and we slept very well in the comfortable bed. We weren't crazy about the tapas restaurant downstairs, but loved the café in the ""Jesus loves you"" building around the corner from the apartment.  "
244234,Doet waited for us a bit later than the usual hours and presented us the room and a book with good addresses and advices to discore the city. She was nice enough to let us stock our luggage for our last day in Amsterdam.
252160,Mischa went out of his way to make things easy for us.  He even made us coffee  and very kindly allowed us to drop off our luggage even before checkin time.  You cannot beat the value and it's only a 5 minute walk from the metro to central amsterdam.  What a great host!!
253134,"I've stayed in some great AirBnBs in my time, but Ayla and Jake's takes the cake. The houseboat was beautiful and comfortable; the hosts were incredibly friendly, welcoming, and generous (leaving us great wine, beer, and chocolate!); and the location was fabulous. I can't wait to stay here again when I return to Amsterdam- hopefully very soon.  Stijn's boat was the second I stayed on in Amsterdam, and it was definitely more boat-y, for better and for worse. It's a super-cool and comfortable space with great views, and Stijn was very welcoming, communicative, and helpful. However, while other reviews had mentioned that accessing the boat was an adventure, I wasn't prepared for what that would mean. Getting my big suitcase on board was pretty brutal (although Stijn was great about helping me on the way out) and navigating narrow passages across other boats (some piled with dirty and rusty objects) in my dress clothes was also a challenge. Finally, there were some loud noises the boat made that woke me during the night. All in all, I would recommend Stijn's boat for heavy sleepers, light packers, and folks who will be dressing casually. That said, I want to emphasize that Stijn was a great host- these minor things that didn't work for me are all beyond his control. "
313949,"Marga is such a nice person! Good vibes, great location, very easy to communicate with, generous!<br/>The room was perfect, very cosy, I felt like home!<br/>I would definitely go back there!"
315774,"We spent a great vacations staing in Stephan's apartment! Apartment was very comfortable, clearn and cozy, we were feeling  like at home. It's 15 min from Central Station, very close to differents places of interest. Stephan was a great host, he was very polite, charming and always ready to help! "
327957,"Marian and Simon are sweet and friendly, dependable and super helpful at all times! Generally up for an interesting chat, too. All rooms were impeccably clean and tastefully decorated, the bed and bathtub luxurious with plenty of fresh towels. Radiators and windows working well, so temperature adjustable to your needs. Nice location: quiet and peaceful, right next to Vondelpark, yet plenty of tasty restaurants and a tram station right around the corner.  It is said of us Germans that we always complain. Well, I couldnt find anything to complain about, no matter how hard I tried! "
332985,This apartment near the Vondelpark is very cosy and clean. It is situated in a quiet residential area but just minutes from good restaurants and shops. We enjoyed our stay very much. The communication with Karen was always and prompt and very helpful. We would definitely come again
361467,"I had a wonderful stay with Stephanie and Sebastian in Amsterdam. Stephanie welcomed me and was extremely helpful during my stay with practical stuff like bike rental, recommendations etc. The apartment is lovely and very well designed and I really enjoyed. A+ for hosting. I hope the apartment is available next time I'm in Amsterdam :) "
367503,"Wonderful apartment (the pictures don't lie), very cozy and indeed a quiet area (although very central and if you rent a bike the center is reachable within 5min). Mijef and Henk are a very funny and welcoming hosts. They provide you with every information you need, fresh towels and even fruits and a bottle of wine were waiting for us. Besides that you have the feeling of living on your own in this beautiful typical dutch house. Very tastefully designed (you feel like living in a interiour design house!). Absolutely recommendable!"
367862,"Staying at Toetsie's place was great. She's a wonderful and generous woman, very helpful with figuring out things to do and see in town. The setup of the rooms with a mini-kitchen is spacious and comfortable. And Roky the cat is a sweet little companion. The apartment is in an ideal location close to trams, metro, and buses with many Amsterdam sights also in walkable distance. I would definitely recommend her place!"
378290,"My 2 friends and I loved our stay at Gina's garden house. It is at the back of Gina's main house through a garage/storage area with separate keys so it is very private and apart from the main building. Gina met us when we arrive and there was a bottle of wine, chocolates, bottles of water, coffee, shower gel/shampoo etc etc. - she went above and beyond what you would expect from an Airbnb host.<br/>The house is on 2 floors with the living area downstairs and 2 bedrooms upstairs (no doors but very thick curtains for privacy). We went into the centre of Amsterdam a great deal and that was only one stop on the train or 2 trams - all within 5/10 mins walking distance.<br/>I would recommend Gina as a host - she even posted my friend's phone back to me after we accidentally dropped it in the rubbish when we left!<br/><br/>10 out of 10. Thanks Gina!"
399447,"We absolutely loved staying here.   Beautiful, clean, and quiet.  Henk and Kelli were quick to respond to all inquiries and very flexible.   Loved having coffee on the deck each morning.   "
401817,"On my check-in date Marijke changed her plans to be able to meet me and my friends which was very kind of her (instead of leaving the key somewhere or with someone else). She came out to pick us up with her big smile, making our first meeting a real pleasure. Then she explained everything about the apartment, the area nearby, the transport. This was really helpful!<br/><br/>The description of the room is exactly how it was in real. I would confidently say the lower bed is pretty comfortable. The neighbourhood was pretty quiet and nice. There is a coffee place very close with amazing breakfast and coffee. <br/><br/>I would definitely recommend staying with Marijke!"
411842,"There was an emergency so I didn't go. Yet Matthijs has been very helpful and kind. Would definitely stay at his place when  I go to Amsterdam next tim,"
440298,Corina was very friendly and gave us some nice tips of where to see in Amsterdam. The location was perfect as we could easily walk everywhere and it feels safe in the area. 
440425,"What a lovely little jewel box of a room! The cupboard bed is a delight, and the location of the apartment is well-situated for exploring Central Amsterdam. The breakfast at De Laatste Kriumel, while a five minute walk away, is superb."
443512,"From the beginning to the end of our stay, it felt like the best choice we could have done. Sander and Kathelijn have been really helpful and friendly, and the house is in a perfect location : close on the busy Leidseplein and walking distance to any touristic interest Amsterdam has to offer. Also on the edge of a much more local district full of small restaurant and very old bars.<br/><br/>The house itself is very spacious and full of charm. Very good place to stay in a vibrant neoghbourhood"
470368,Lovely apartment in a very quiet location in the outskirts of the city. Living room is lovely with big windows and loads of light. Also a little balcony off the kitchen. <br/>Probably 8 mins walk to the team which gets you into the centre or museums in 15-20 mins. Mirjam is helpful with a map and guidebooks ready and suggestions for places to eat and drink. I would defiantly recommend. <br/>
479445,"I really enjoyed my stay with Marga and Rico.  Marga met me at the station and was flexible about timing.  The cottage is rustic and cozy and in a quiet, non-touristy part of the city.  It is a treat to be on the river and watch the rowers and the wildlife.  There are bikes available for rental and I'd recommend using them.  It is only 15 minutes into the center and it is a pleasure to cycle in this most cycle-friendly of cities.  The cottage has a nice big desk, a wood stove which you can use, and a characterful old piano.  I would be glad to stay again and recommend it highly!"
482037,"Could have not found a better place to stay... wow..<br/>Great location and lovely warm hosts.<br/>I would highly recommend this apartment.<br/>Very clean and very modern.<br/>Great cafe with free wifi also right opposite on the canal.<br/>Thank you Nicolet for having us. We hope to come again and I will recommend your place to our friends. "
500530,"The apartment is truly spectacular. Recently renovated, it has all you could need. The furniture is modern and the bed is really comfortable. The kitchen had a coffee maker and all you'd need to cook basic meals - but there are so many good places to eat really close by. The rooftop patio was huge and had a nice view. Now on the flip side, the arrival was a little confusing and I would have expected the place to be a bit cleaner. Despite that, I would really recommend this apartment."
517029,Laura and her husband Arjen were very welcoming and helpful throughout the weekend and provided us with a lovely apartment and delicious breakfast each morning. The area was quiet and pretty and not far from the centre of Amsterdam by foot. 
517666,Ingo was a terrific host - and his place is so beautiful! What a great experience all around.
532213,"I stayed with Rosie before so the fact I went back is all you need to know. Great location: close to the centre without being in the craziness, easy to get to from Zuid/airport, and a quick bus across town to Amstel station where I was working. Simple, clean, warm, modern room. Good wifi. The perfect stay for me as a businessman Lovely room on the top floor of the apartment so it feels like your own place. Bathroom right next door. Big comfortable bed. Photos do it justice. Great location - close to the centre but quiet enough for a good nights sleep. Rosie was very patient with me as my flight was late, and very helpful when I arrived. All in all, great stay. <br/> I was in Amsterdam on business. Reuben met me as I arrived. Very nice, welcoming guy. Room was clean, simple and comfortable. Fantastic location in one of the best locations in Amsterdam. "
546371,"I have taken the time to write this review because it is so well deserved.   Words can hardly do justice to this beautiful home.   I have tried to share how wonderful it is.  This is by far the best accommodations I have stayed in including some of the finest hotels.  I go to Amsterdam every couple of years and will be sure to book Petra's place well in advance.  Petra is a classy and charming lady who is warm and kind.  She was always available and went out of her way to make my stay as comfortable as possible.   She even provided a few extras that were not expected but greatly appreciated.  Her communication was outstanding and she was so patient as I had problems with the rail-strike and actually arrived a day late.  After a harrowing trip her warm welcome was just what I needed.  We had some lovely conversations over the deliicious coffee she brought each morning.  I do not eat breakfast but what she provided for other guests looked wonderful.  Not only is Petra an incredible hostess but the accommodations were equally incredible (over the top).  The apartment appeared to be brand new and done with the most up to date cabinets, fixtures, etc and with impeccable taste.   The sleeping room was very large, bright and spotlessly clean.   It was beautifully decorated  and had a lovely balcony.   The bed was like sleeping on a cloud.   The sheets and bedding were crisp and soft.  There was no outside noise so sleeping was easy and restful.  There was a safe and a large screen tv.   The kitchen was also very large, bright and airy and totally equipped.  It was so clean and fresh it looked like it had not been used.  The bathroom was also huge, spotless and had every amenity one would need; including many towels, bathrobe and slippers.  All things provided were high quality.  The shower was large and wonderful with its own little dressing area.  Petra said they had completely renovated the apartment and it showed as everything was handcrafted and showed a pride of ownership one rarely sees.   There was a second bedroom with its own bath that was equally as beautiful as mine was.   The location was also great right next to the park, good restaurants and the tram stop right at the corner, five minutes to town.  The neighborhood was lovely and near enough but out of the downtown noise and the crowds.  I am so grateful that I had the opportunity to experience such luxury and to meet someone as special as Petra.  I feel I have made a new good friend.   Thank you.  Jayne"
551161,"Mijef really made us feel welcome in her house and provided us with all sorts of little luxuries that made a big difference - food for breakfast  in the fridge, a bottle of wine, an adaptor plug, peppermints and lots of information on Amstersdam. Her house is full of really interesting details and art and the room is lovely and spacious. The area was perfect since we could walk pretty much anywhere or the bus and tram stops are 5 mins away. There are also lots of food shops and restaurants in the immediate area. Although the room is at the front of the house it is very quiet and the bed extremely comfortable.  We had a lovely time in Amsterdam and would recommend the House to anyone."
559770,"Wir kamen aus Frankreich und aus Deutschland und haben zu fünft das Apartement gemietet. Und wir waren restlos begeistert. Tessas heim ist sehr sauber, sehr ordentlich - und vor allem sehr, sehr gemütlich. In einer wunderbaren, ruhigen Wohngegend gelegen und für Kinder geeignet. Nur ein paar Minuten von der nächsten Tram entfernt, hat Tessa ein kleines Paradies geschaffen. Das Apartment ist mit viel Liebe zum Detail eingerichtet. Sehr hilfreich auch die Karten und das Booklet, in dem Tessa einiges Wissenswerte zusammen gestellt hat. Wir haben uns sehr wohl gefühlt."
560966,"Vibeke was a great host, she gave excellent recommendations and instructions for getting around the city. Her apartment has good connections the city centre and plenty of places nearby for eating or drinking or getting supplies. <br/>I really enjoyed my stay here, the room is spacious and comfortable. "
564588,Charming host - excellent apartment.... thanks for having us.
593343,"Margo's flat is really nice, very clean, also has extra touches like fresh flowers plus interesting guide & history books. She is a very accommodating host worked with our early arrival, let us bring our bags ahead of time. The breakfast foods were plentiful, we even had treats. The location is great too. We plan to stay there again in a couple of weeks. Super! Thanks Margot, Eric & Ilse This was our second time staying at Margot's flat. We felt right at home & the flat was again very clean and welcoming with fresh flowers. Breakfast , snacks were plentiful. Margot goes the extra mile to provide traditional Dutch specialties. We're recommending friends & family to stay here when visiting Amsterdam. Loved the neighborhood too."
608486,"The apartment is very well located and I could walk anywhere from there. I went back to the train station on foot, it was very easy to go anywhere.  It is super convenient! The hosts were also very helpful and accommodating. The room is smoke-free, but it is allowed to smoke in the living room, so the hosts closed the door to the corridor to keep the rooms away from the smoke, so I had no problem with it. I also like that the bathroom and the toilet are separated, it is really convenient!"
627243,"Great communication, awesome location, comfortable bed, clean room and bathroom, delicious breakfast, and above all... Friendly hosts! On airbnb you can find many affordable places in good locations, but this one is a special one & arguably one of the best. As a frequent traveller and user of airbnb what makes a place stand out besides location and comfortable bed is: friendly host. Matthijs is a great host & he took the time to talk and show genuine interest in our trip plans. He has excellent suggestions. He happily let us keep our luggage after check out and provide us with towels in case we want a second shower before our late flight.<br/>Matthijs does that extra bit effortlessly to make your stay even better. Other great pluses: beautiful breakfast, comfortable traditional bed, quiet at night, big bathroom with clean thick towels provided, very clean room nicely decorated, and excellent location.<br/>We like it on Facebook and it's the first time we will put recommendation on trip advisor for a place we used through airbnb."
634096,"Robert made my friend and I feel very welcome. He greeted us from the bus station and helped us carry our bags up the stairs. He also kept in touch throughout our stay. The location is wonderful and the apartment was small but cozy and had all of the amenities we needed. One thing to note if you're staying in the summer is that the apartment is on the top floor, so it can get a bit hot and stuffy, particularly in the morning. Otherwise, really great place."
641782,We have been two days in this awesome cozy apartment. It has every little detail you can imagine. Gabriel was a very generous host. He offered himself for any need we may have. The apartment is really close to the city centre by tram although you may also choose to go by feet. The apartment is next to a park so it is very quiet on nights. So far our best experience in Airbnb. <br/>Thank you very much Gabriel and Marloes!
678553,"Willbert est un hôte exceptionnel. D'une gentillesse extrême, il vous accueille chaleureusement et vous aide à vous installer et vous sentir chez vous. Lors de l'accueil, il vous donne de précieux conseils pour découvrir cette superbe ville. La communication a toujours été parfaite et rapide avant notre arrivée. Concernant la chambre, son emplacement est idéal et elle dispose de tout le nécessaire pour passer un agréable séjour. Nous avons tout fait à pied tant nous étions proche du centre ville. Un adresse à retenir pour vos séjours à Amsterdam !"
683493,"Overall, this was not a pleasant experience. The host not very responsive, but very strict. <br/><br/>We booked the place for three days, but due to a change in personal plan, we asked if we can cancel the first day. That was more than 40 days before our trip. The host said she would look into this after her travel, and a few days later, she replied that we could not cancel a day because strict policy applies. I asked the host to do us a favor, but also inquired which part of the policy says the booking couldn't be cancelled by part. The host did not point me to the relevant policy, but impatiently stated that it was complicated to cancel a day, and asked us to either cancel all or leave the way it is, and she is ""fine"" with either. I asked, if we cancel all, whether she would charge 50% cancellation fees.  This time she ignored our message and never replied.  We ended up for paying for three days, but we do not blame her for the additional day charge as we chose not to push further on this point. <br/><br/>The host was also very particular about house rules. For example, the host told us the breakfast starts at 9 and she would knock on our door when it is ready. We waited until 9:12 and decide to go downstairs to say hi. Before we finished the ""good morning"" greeting, she demanded us to return upstairs, because she clearly told us that she would ""knock out door when the breakfast is ready"". I indeed remember this instruction, but didn't expect her to be so strict about this, especially when it is her who was late for breakfast after we indicated our willingness to leave for museums as early as possible to avoid long queue and we did not mean to chase her at all.  <br/><br/>By the way, the toilet was shocking noisy, which would likely wake up your roommate if you use it in night. "
691481,"Room is spacious, clean and all advertised features available. The huge bathroom is a real future with high tech spa experience. Not quite optimal is the sound proofing: while trying to sleep in after a ""night in amsterdam"" (-; the scurrying around of other guests and/or host made this virtually impossible. Would still recommend the place though for great price/value ratio"
697414,Beautiful apartment and central to everything. I stayed here with my husband and another couple and we had a wonderful time exploring Amsterdam. It was great to be able to walk everywhere and have a place to call home in the middle of everything. Very comfortable beds and a view of the canals! Would definitely stay here again. 
699371,"Nice, safe, quiet neighborhood.  Know that you will need to heft your luggage up three flights of stairs on narrow staircases. You will have to share the bathroom with guests from one other bedroom on the same floor.<br/><br/>Be aware as Rosie will indeed tell you when you arrive, that walls are thin and therefore you will not be able to speak on the phone in your room, on the balcony, or on the bench in front of the house.  Unfortunately, you may only speak in the living room and your private conversations will be overheard.<br/><br/>Breakfast is at 9 AM only.  Unfortunately, the hostess is not flexible on this time, and does not even leave you a piece of fruit.  Therefore, if you have a tour where you need to leave even at 8:30, or you want to beat the lines at Anne Frank house, you will miss breakfast.<br/>I had breakfast only once at the house during my four night stay and it was simple continental, nothing to write home about. <br/><br/>For myself, I would not stay here again. "
704276,"Really welcoming and able to accommodate at the last minute. Highly recommend and would stay again!<br/><br/>The vessel was fully stocked and extremely well decorated. The lighting, minimal furniture, total atmosphere was perfect!<br/><br/>Internet was strong. Very close to city center!<br/><br/> Some tourists walked by and ask if they could take pictures. <br/>---<br/>Only negatives I can think of was that there were sounds associated with the vessel being attached to the street - sounded like pipe sounds. Bit loud in my bed! Very minor thing and probably won't bother most people.<br/><br/>"
747921,"This accommodation is a self-contained section of a bigger boat, where Flip lives. So the included breakfast (a very generous one!) comes fresh every morning served at your table. <br/>We've loved the outdoor section (at the end of the pier) with a table setting where we could have a drink at night watching the beautiful canal view and appreciating the calm of this area. You even get the fragrance of a jasmine bush, which is really lovely.<br/>We've used the two bicycles everyday, which allowed us to easily access everything in Amsterdam. You can find everything in less than 5 min. away (cafés, restaurants, bars, grocery, and many very cute shops namely on Haarlemmerdijt/Haarlemmerstraat)<br/>I recommend Flip's boat, as I couldn't imagine a better way to enjoy Amsterdam! "
748115,"The location of this airbnb is perfect, close to everything a short time visitor would want to see. Matthijs was a great host. The breakfast  provided at a nearby cafe was delicious. "
774394,"Hans's apartment was excellent! Very specious, clean and conveniently located. We had a very pleasant stay and would definitely stay here again. "
803744,"Gina was a nice host, allowing me to hang out in the livingroom until the room was available. She was pleasant and available despite being ill. The flat however was disappointing. It was a bit dirty and had a thick smell of cigarette smoke. I wish this would have been in the listing description because although the room was smoke free, I have asthma so the flat irritated my lungs. I didn't read enough reviews to know this ahead of time.  The bed was ok, but the room's window faced a noisy street at ground level so you'd hear everyone who walked by.  Overall, the flat felt more like a hostel - which isn't the feel unusually go for using Airbnb, as hostels are cheaper. Location was great but given the fantastic transportion options, you can get a place a little further out and both nicer and cheaper."
846747,"Toetsie's place was very close to the tram and only 20 minutes to the city center.  The neighborhood is pretty calm and quiet, but has quite a few shops around including coffee shops.<br/>The room was nice and suited our needs.  It was nice to arrive at her place and have some snacks awaiting us on the bed.  We were also able to use the kitchenette to make some meals and the coffee machine was really nice to have.<br/>Toetsie was very helpful with information on the city and advice.  Overall it was a nice stay."
854161,"We rented this apartment for visiting family, and they found it clean, cozy, and well-located.  It's got a lot of character as well, and feels like a real, lived-in apartment that's full of character rather than a sterile hotel room."
866341,"Our stay in Wouter's house was great. The place is really nice and fully furnished. The rooftop view is amaizing. The neighborhood is nice and quiet and offers everything you need (grocery shops, coffees, restaurents, etc.). There are trams and bus stations all around the block and one just in front of the house. And most of all Wouter was very welcoming, helpfull and available all the time.<br/>I really recommend his apartment :)"
871358,"If you are looking for a real quiet place not far from the main attractions of the city, STOP! it is what are u looking for. <br/>And especial thanks for Matthijs and Francina for their welcoming message. It was so pleasant to read it in front of our door. And, of course, i want to thank u for our breakfast in such an amazing cafe with smell of fresh bread and warm of the traditional Dutch kitchen. "
877308,"Minha hospedagem foi perfeita. Petra é uma anfitriã maravilhosa, atenciosa e muito amigável. O espaço é impecável, lindo, charmoso, de extremo bom gosto. O bairro é ótimo e a localização também. Uma ótima opção para quem vai para Amsterdam. Super recomendo."
889157,"Was für perfekte Gastgeber! So freundlich und nett, besser geht gar nicht. Auch wenn ich nur kurz da war habe ich viel von der Gastfreundschaft erlebt. Das Gartenhäuschen liegt sehr idyllisch und ruhig und ist perfekt ausgestattet. Jetzt im Herbst ist es ein bisschen kühl aber der Heizer und die dicke Decke haben das vergessen lassen. Ein perfekter Aufenthalt."
902903,"Debbi is a great host, she's very pleasant and gave us s lot of good advice on where to go, things to see, etc. The studio is indeed a gem, perfect for a romantic weekend. The Food Halle, just minutes away, is a must-visit. I fully recommend Debbi's place and wouldn't hesitate to stay there again. Lovely."
914090,"Sarah-Jane's apartment is the best! Great location in a beautiful quiet street in the nicest area of Amsterdam, Jordaan. Apartment has all the things you might need, even soaps and creams for you yo use! Very clean and cosy. Suitable for 2-4 people. We were two friends and did not want to sleep in the large bed together, so Sarah set us a second very comfortable bed in the living room sofa bed. She is a very kind host, interesting personality who will do everything so that you would feel at home. Thank you Sarah, we had wonderful time in your place. Hope to see you soon again :)"
915541,"Manon's house is just as described. It is accessible to both the city and the country by bike or bus. And it is easily walkable or bikeable to parks and playgrounds. It is a great house for families with children and Manon and Claudio were very friends and easy to communicate with. For a blend of family-friendly, accessible, and value, I would highly recommend their home!"
921540,"Staying with Jeroen showed us once again what Air BnB is all about: We visited a city we've never been to before and instantly felt at home. Starting with the first message, Jeroen was very friendly and helpful. Once we arrived he took the time to share his favorite spots with us - restaurants, bars, parks, ... we most probably wouldn't have discovered without him (ask him about the Moroccan fish place - incredible!). The room was really cosy (and a bit hard to leave because of the pin-ball machine ;) and the neighbourhood is just great. If you visit Amsterdam without seeing the North you really miss out on something.<br/>Jeroen, thank you so much for everything."
922478,"What an enchanting and restorative experience it was to stay in the cottage in the garden of Marga's houseboat.  The cottage was cozy and charming,  transporting me back to my grandmas cottage in Ireland.  Staying on the Amstel River was delightful,  but list of all Marga and family made the stay an absolute comfort,  they were kind,  helpful and welcoming.  Marga picked us up from the airport,  we rented bikes and had dinner there for a small fee,  making it a memorable and warm experience.  A huge and unforgettable bonus was the special treat was doing an energy reading/ session with Marga.  As a therapist and healer myself I have received many healing session but my experience with Marga was one of the most positive and revitalizing I've had,  if interested in these sorts of things,  I recommend inquiring with her.  Highly Recommend.  Thank you Marga and Rico and fam!  Xo "
926138,The appartment and the hood were very cool... It was a great time in Amsterdam... Mike is very helpfull and kind.... Everything was fantastic... We will come back!!!
943578,"Great location! Excellent host, Heinz recieved us delicatelly and explained us what to visit and to do. Great appt, the room was clean and cozy. We totally  recommend it!!"
951661,"We stayed for an extended weekend at Daniel's fantastic apartment. The roof terrace was amazing, good bedrooms, and perfectly arranged living area w well equipped kitchen. "
956379,"I second all the good things from the other reviewers - fruit, eggs and more in the fridge, great looking place, bikes available, comfortable furniture and beds, etc. The neighborhood has a local feel without many tourists (in early December) even though it has Albertcuyp Market and is a short walk to the museums. There is a great international food store on the corner where you can get prepared foods for take out as well as things like spices (I'd been looking all over Europe for zaatar) and fresh curry leaves. Also found a nice Ethiopian restaurant in the area.  The radiant floor heating was nice but couldn't quite overcome a draft through the doors so it was not as cozy as it could've been. The strong and hot shower helped though.  Ester and her husband were very nice and responsive. Overall, great hosts and a great place."
960416,"I had a lovely time in Amsterdam staying at the Vondelpark B&B with Petra and Jerry. They were both very welcoming and Petra was very attentive, but not at all intrusive, and it was nice chatting with her. The room is really lovely, light, quiet and spacious with a table and chairs set at the bay window with a view to the street. I had breakfast here most mornings as well as a cooked breakfast upstairs in the dining room. The food was delicious and plentiful and beautifully presented and Petra even left a lovely note with my breakfast when I had it in my room. The ensuite is lovely too with beautiful tiles and new fittings and there is a guest kitchen to make tea/coffee in which also has a microwave and stove. The B&B is in a good location, away from the crowded tourist centre, only a 20 min walk in, a 5 min tram ride (stop is literally 1 min walk away), and next to Vondelpark which is lovely to walk around especially on a sunday evening when everyone is out and about. There are plenty of cafes and restaurants on the nearby Overtoom road and around the area which have a more local vibe if that appeals. There's also one across the road from the B&B which had great food. I would seek to stay here again if I had the chance to return to Amsterdam. I can highly recommend staying here and wish Petra all the best in her new business running the B&B."
